,Jugador,Posición,Derribos,Derribos completados,Regateadores tackleados,Bloqueos,Disparos bloqueados,Pases bloqueados,Jug. tackleados + intercepciones,Despejes
383,Abdul Mumin,DF,19,10,8,27,19,8,41,82
384,Iker Muniain,"MF,FW",5,1,1,4,1,3,5,0
385,Aihen Muñoz,DF,36,21,24,16,8,8,45,33
386,Álvaro Muñoz,FW,0,0,0,0,0,0,0,1
387,Iker Muñoz,MF,32,18,15,16,5,11,43,50
388,Javier Muñoz,MF,42,23,16,40,4,36,62,29
389,Vedat Muriqi,FW,11,6,2,11,4,7,17,26
390,Nacho,DF,18,10,6,23,13,10,36,56
391,Matija Nastasić,DF,35,17,24,33,20,13,64,114
392,Roberto Navarro,"MF,FW",46,29,22,33,0,33,65,7
393,Jesús Navas,DF,37,27,22,15,7,8,59,48
394,Álvaro Negredo,"FW,MF",0,0,0,1,0,1,1,0
395,Carlos Neva,DF,32,21,17,39,14,25,62,108
396,Tanguy Nianzou,DF,12,8,8,2,0,2,15,9
397,Saúl Ñíguez,MF,64,39,30,36,9,27,78,56
398,Peru Nolaskoain,"DF,MF",1,1,1,0,0,0,1,1
399,Randy Nteka,"FW,MF",11,4,4,6,1,5,13,11
400,Unai Núñez,DF,51,28,23,38,24,14,103,153
401,Ørjan Nyland,GK,0,0,0,0,0,0,0,9
402,Jan Oblak,GK,0,0,0,0,0,0,0,10
403,Brian Ocampo,"MF,FW",4,3,2,4,0,4,7,0
404,Lucas Ocampos,"FW,MF",66,47,29,34,1,33,87,29
405,Álvaro Odriozola,DF,9,7,5,2,1,1,17,7
406,Aingeru Olabarrieta,FW,0,0,0,0,0,0,0,0
407,Olasagasti,MF,16,13,5,2,0,2,19,5
408,Samuel Omorodion,FW,6,3,0,11,2,9,7,14
409,Samuel Omorodion,FW,1,1,1,0,0,0,1,0
410,Aimar Oroz,MF,43,26,13,27,2,25,59,11
411,Eneko Ortiz,DF,0,0,0,0,0,0,0,0
412,Asier Osambela,MF,2,1,0,0,0,0,2,0
413,Milutin Osmajić,MF,0,0,0,0,0,0,0,0
414,Aiham Ousou,DF,8,5,5,1,0,1,15,15
415,Jesús Owono,GK,0,0,0,0,0,0,0,3
416,Mikel Oyarzabal,"FW,MF",23,18,7,25,4,21,27,12
417,Cenk Özkacar,DF,26,15,15,18,7,11,44,84
418,Jon Pacheco,DF,25,15,14,17,6,11,35,53
419,Isaac Palazón Camacho,"MF,FW",46,25,20,29,2,27,62,41
420,Joaquín Panichelli,"FW,MF",3,3,1,1,0,1,4,4
421,Sokratis Papastathopoulos,DF,21,14,13,15,9,6,27,60
422,Victor Parada,"FW,MF",1,1,1,0,0,0,1,0
423,Aitor Paredes,DF,20,11,7,23,11,12,53,104
424,Daniel Parejo,MF,43,30,20,25,9,16,64,29
425,Pascu,FW,0,0,0,0,0,0,0,0
426,Gabriel Paulista,DF,7,5,3,5,3,2,11,27
427,Gabriel Paulista,DF,10,7,6,15,7,8,34,78
428,Nicolás Paz,"MF,FW",0,0,0,2,0,2,1,0
429,Alfonso Pedraza,DF,25,9,9,16,7,9,38,19
430,Pedri,"MF,FW",33,24,8,27,3,24,47,10
431,Adrià Pedrosa,DF,46,26,23,26,6,20,61,54
432,Facundo Pellistri,"MF,FW",29,19,6,18,0,18,33,7
433,Iñaki Peña,GK,0,0,0,0,0,0,0,5
434,Marcos Peña,MF,19,14,6,9,3,6,32,8
435,Rubén Peña,"DF,FW",47,25,20,37,8,29,77,39
436,Alberto Perea,"MF,FW",0,0,0,0,0,0,0,0
437,Ayoze Pérez,FW,59,32,21,42,4,38,81,18
438,Carles Pérez,"MF,DF",13,5,7,14,1,13,18,8
439,Francisco Perez,"MF,FW",30,17,15,19,0,19,44,5
440,Kike Pérez,"MF,FW",27,11,11,11,0,11,35,6
441,Máximo Perrone,MF,42,21,19,27,4,23,66,21
442,Njegoš Petrović,"MF,FW",5,2,2,2,0,2,6,3
443,Germán Pezzella,DF,34,24,23,31,18,13,65,150
444,Kamil Piątkowski,DF,18,10,10,6,5,1,26,28
