,Jugador,Posición,Pelotas recuperadas,% Duelos aéreos ganados
545,Alexander Sørloth,FW,57,64.0
546,Yassin Tallal,FW,0,50.0
547,Renato Tapia,"MF,DF",112,56.6
548,César Tárrega,DF,0,0
549,Marciano Tchami,"FW,MF",2,50.0
550,Aurélien Tchouaméni,"MF,DF",99,68.0
551,Nahuel Tenaglia,DF,47,58.1
552,Marc-André ter Stegen,GK,55,100.0
553,Ramón Terrats,"MF,DF",45,50.0
554,Kieran Tierney,DF,52,44.4
555,Raúl de Tomás,FW,35,36.9
556,Pablo Torre,"MF,FW",42,0.0
557,Raúl Torrente,DF,56,59.5
558,Ferrán Torres,FW,40,26.7
559,Óliver Torres,MF,127,28.2
560,Lucas Torró,MF,115,63.4
561,Bertrand Traoré,MF,22,57.1
562,Hamari Traoré,DF,136,45.3
563,Óscar Trejo,"FW,MF",92,42.4
564,Manu Trigueros,MF,15,80.0
565,Viktor Tsyhankov,"MF,FW",88,48.1
566,Beñat Turrientes,MF,81,34.0
567,Enes Ünal,"FW,MF",5,18.8
568,Myrto Uzuni,FW,59,15.7
569,Óscar Valentín,MF,160,39.8
570,Martin Valjent,DF,97,65.7
571,Jesús Vallejo,DF,8,0.0
572,Álvaro Vallés,GK,73,80.0
573,Federico Valverde,MF,160,67.7
574,Siebe Van Der Heyden,DF,10,57.1
575,José Luis García Vayá,MF,244,57.6
576,Borja Vázquez,FW,0,0
577,Jesus Vazquez,"DF,MF",47,38.7
578,Kevin Vázquez,DF,29,55.6
579,Lucas Vázquez,DF,78,40.0
580,Gabriel Veiga,FW,0,0.0
581,Alejo Véliz,FW,0,75.0
582,Arthur Vermeeren,MF,14,14.3
583,Mikel Vesga,MF,112,50.0
584,Carlos Vicente,FW,47,45.8
585,Nacho Vidal,"DF,FW",3,33.3
586,Nacho Vidal,DF,18,65.0
587,Fran Vieites,GK,1,100.0
588,Jonathan Viera,"MF,FW",28,20.0
589,Jonathan Viera,MF,36,33.3
590,Toni Villa,FW,2,0
591,Asier Villalibre,FW,13,47.7
592,Gonzalo Villar,MF,131,64.6
593,Iván Villar,GK,19,100.0
594,Ricardo Visus,DF,3,28.6
595,Daniel Vivian,DF,213,42.5
596,Shon Weissman,FW,2,16.7
597,Iñaki Williams,FW,119,58.2
598,Nico Williams,FW,131,47.1
599,Axel Witsel,DF,148,67.9
600,Xeber,"FW,MF",19,28.6
601,Antal Yaakobishvili,DF,3,66.7
602,Lamine Yamal,FW,102,15.4
603,Roman Yaremchuk,FW,28,36.1
604,Arsen Zakharyan,"MF,FW",52,34.4
605,Joseba Zaldúa,DF,24,66.7
606,Bryan Zaragoza,"MF,FW",56,30.8
607,Igor Zubeldia,DF,156,50.6
608,Martín Zubimendi,MF,169,61.1
