,Jugador,Min/90,Goles de penalti,Penaltis lanzados,Conducción progresiva,Pases profundos,Pases profundos recibidos,Goles/90,Asistencias/90,Creación de pel. acaba en gol
315,Pablo Maffeo,16.2,0,0,38,41,68,0.06,0.12,0.19
316,Jon Magunacelaya,1.3,0,0,2,2,10,0.00,0.00,0.00
317,Nemanja Maksimović,36.3,0,0,22,73,35,0.11,0.00,0.11
318,Giorgi Mamardashvili,36.5,0,0,0,0,0,0.00,0.00,0.00
319,Wilson Manafá,2.7,0,0,5,4,6,0.00,0.00,0.00
320,Reinildo Mandava,8.1,0,0,10,36,17,0.25,0.12,0.37
321,Aïssa Mandi,12.4,0,0,6,55,4,0.08,0.00,0.08
322,Javier Manquillo,8.3,0,0,5,25,16,0.00,0.12,0.12
323,Faitout Maouassa,2.5,0,0,8,6,15,0.00,0.39,0.39
324,Marcão,3.9,0,0,3,12,0,0.00,0.00,0.00
325,Óscar de Marcos,25.1,0,0,51,143,125,0.04,0.20,0.24
326,Alberto Marí,3.1,1,1,2,6,13,0.33,0.33,0.33
327,José Mari,0.2,0,0,0,1,1,0.00,0.00,0.00
328,José María Giménez,14.7,0,0,2,26,1,0.00,0.00,0.00
329,Mariano,2.7,0,0,3,6,17,0.00,0.00,0.00
330,Rafa Marín,27.1,0,0,13,77,6,0.00,0.00,0.00
331,Diego Mariño,1.0,0,0,0,0,0,0.00,0.00,0.00
332,Mika Màrmol,35.3,0,0,36,142,13,0.00,0.03,0.03
333,Unai Marrero,1.6,0,0,0,0,0,0.00,0.00,0.00
334,Roger Martí,15.1,0,0,7,19,64,0.13,0.20,0.33
335,Iván Martín,30.3,0,0,84,143,109,0.16,0.13,0.30
336,Jon Martin,0.3,0,0,0,0,0,0.00,0.00,0.00
337,Mario Martín,0.2,0,0,0,0,1,0.00,0.00,0.00
338,Arnau Martinez,13.8,0,0,29,68,16,0.00,0.15,0.15
339,Iñigo Martínez,14.4,0,0,33,97,5,0.00,0.00,0.00
340,Marc Martínez,3.0,0,0,0,0,0,0.00,0.00,0.00
341,Marvin,20.6,0,0,60,36,177,0.00,0.10,0.10
342,Omar Mascarell,17.5,0,0,12,67,11,0.00,0.00,0.00
343,Jaime Mata,19.9,0,0,16,19,138,0.25,0.05,0.30
344,Luís Maximiano,33.0,0,0,0,0,0,0.00,0.00,0.00
345,Borja Mayoral,23.9,4,4,27,67,100,0.63,0.04,0.50
346,Mamadou Mbaye,3.2,0,0,0,4,0,0.00,0.00,0.00
347,Hannibal Mejbri,1.2,0,0,1,5,6,0.00,0.00,0.00
348,Óscar Melendo,12.5,0,0,21,38,33,0.00,0.00,0.00
349,Gonzalo Melero,12.3,0,0,23,49,33,0.08,0.08,0.16
350,Memphis,9.9,0,0,16,27,82,0.50,0.10,0.60
351,Houboulang Mendes,4.4,0,0,5,9,6,0.00,0.00,0.00
352,Tomás Mendes,0.1,0,0,0,0,0,0.00,0.00,0.00
353,Brais Méndez,26.8,0,0,45,128,121,0.19,0.22,0.41
354,Bruno Méndez,14.8,0,0,8,47,14,0.14,0.00,0.14
355,Diego Méndez,0.1,0,0,1,1,0,0.00,0.00,0.00
356,Ferland Mendy,19.1,0,0,19,84,96,0.00,0.00,0.00
357,Jorge Meré,7.5,0,0,2,15,0,0.00,0.00,0.00
358,Mikel Merino,27.6,0,0,26,163,99,0.18,0.11,0.29
