,Jugador,Posición,% Regates completados
425,Pascu,FW,100.0
426,Gabriel Paulista,DF,0
427,Gabriel Paulista,DF,0.0
428,Nicolás Paz,"MF,FW",0.0
429,Alfonso Pedraza,DF,33.3
430,Pedri,"MF,FW",42.1
431,Adrià Pedrosa,DF,31.6
432,Facundo Pellistri,"MF,FW",42.9
433,Iñaki Peña,GK,0
434,Marcos Peña,MF,0.0
435,Rubén Peña,"DF,FW",47.9
436,Alberto Perea,"MF,FW",0.0
437,Ayoze Pérez,FW,44.6
438,Carles Pérez,"MF,DF",37.8
439,Francisco Perez,"MF,FW",39.6
440,Kike Pérez,"MF,FW",27.3
441,Máximo Perrone,MF,45.8
442,Njegoš Petrović,"MF,FW",60.0
443,Germán Pezzella,DF,50.0
444,Kamil Piątkowski,DF,100.0
445,Yeremi Pino,"MF,FW",52.9
446,Portu,FW,0.0
447,Portu,"MF,FW",21.1
448,José Pozo,MF,0
449,Alejandro Pozo Pozo,"DF,MF",7.1
450,Beñat Prados,"MF,DF",63.2
451,Abdón Prats,"FW,MF",44.4
452,Pubill,DF,50.8
453,Antonio Puertas,"MF,FW",48.4
454,Arnau Puigmal,"FW,DF",28.6
455,Nemanja Radonjić,"MF,DF",63.6
456,Aleksandar Radovanović,DF,0.0
457,Abdellah Raihani,FW,0
458,Antonio Raillo,DF,50.0
459,Predrag Rajković,GK,100.0
460,Ivan Rakitić,MF,40.0
461,Largie Ramazani,"FW,MF",41.9
462,Benito Ramírez,"FW,MF",18.2
463,Sandro Ramírez,FW,40.7
464,Chris Ramos,"FW,MF",26.1
465,Sergio Ramos,DF,54.5
466,Raphinha,"FW,MF",52.2
467,Andrei Ratiu,"DF,MF",44.8
468,Raúl,FW,28.6
469,Abderrahman Rebbach,"FW,MF",35.7
470,Pepe Reina,GK,0
471,Álex Remiro,GK,0
472,Chadi Riad,DF,0
473,Diego Rico,DF,33.3
474,Luis Rioja,"FW,MF",57.7
475,Rodrigo Riquelme,"DF,MF",37.5
476,Alberto Risco,MF,50.0
477,Mihailo Ristić,"DF,MF",30.4
478,Gorka Rivera Alonso,DF,0
479,Sergi Roberto,"MF,DF",50.0
480,Lucas Robertone,MF,38.1
481,Marc Roca,MF,52.4
482,Sergio Rodelas,"FW,DF",33.3
483,Rodri,"FW,MF",42.1
484,Óscar Rodríguez Arnaiz,"MF,FW",45.2
485,Damián Rodríguez,MF,0
486,Dani Rodríguez,MF,41.8
487,Guido Rodríguez,MF,71.4
488,Kirian Rodríguez,MF,70.3
489,Miguel Rodríguez,MF,17.6
490,Rodrygo,FW,40.8
491,Carlos Romero,DF,50.0
492,Luka Romero,FW,43.8
493,Oriol Romeu,MF,80.0
494,Unai Ropero,MF,0.0
495,Vitor Roque,FW,26.7
496,Antonio Rüdiger,DF,33.3
497,Javier Rueda Garcia,"MF,DF",0
498,Aitor Ruibal,"DF,FW",60.0
499,Sergio Ruiz,MF,42.6
500,Youssouf Sabaly,DF,52.2
501,Umar Sadiq,FW,63.3
502,Pablo Saenz,MF,0
503,Kike Salas,DF,0.0
504,Salvi,MF,100.0
505,Diadie Samassékou,MF,100.0
506,Fede San Emeterio,MF,0.0
507,Oihan Sancet,MF,46.4
508,Ricard Sánchez,DF,55.9
509,Antonio Sánchez,MF,53.8
510,Juanlu Sánchez,DF,49.0
511,Manu Sánchez,"DF,MF",39.3
512,Jesús Santiago,MF,37.5
513,Paco Sanz,DF,0
514,Stefan Savić,DF,100.0
515,Sávio,"FW,MF",44.1
516,Manuel Sebastián,MF,50.0
517,Aleksandar Sedlar,DF,66.7
518,André Silva,FW,26.1
519,Rui Silva,GK,100.0
520,Giuliano Simeone,FW,40.9
521,Unai Simón,GK,0
522,Daley Sinkgraven,DF,0.0
523,Jailson Siqueira,"DF,MF",60.0
524,Antonio Sivera,GK,0
525,Rubén Sobrino,"MF,FW",39.0
526,Alex Sola,"FW,MF",57.3
527,Alex Sola,"DF,MF",0
528,Jhon Solis,MF,50.0
529,David Soria,GK,0
530,Alberto Soro,MF,0
531,Hugo Sotelo,MF,64.3
532,Boubakary Soumaré,MF,67.7
533,Djibril Sow,MF,62.5
534,Çağlar Söyüncü,DF,100.0
535,Carl Starfelt,DF,0.0
536,Jørgen Strand Larsen,FW,39.2
537,Cristhian Stuani,FW,20.0
538,Álex Suárez,DF,68.8
539,Damián Suárez,DF,42.9
540,Denis Suárez,"MF,FW",50.0
541,Suso,"MF,FW",56.3
542,Max Svensson,FW,0
543,Williot Swedberg,"FW,MF",50.0
544,Mamadou Sylla,"FW,MF",0.0
545,Alexander Sørloth,FW,41.7
546,Yassin Tallal,FW,0
547,Renato Tapia,"MF,DF",69.2
548,César Tárrega,DF,0
549,Marciano Tchami,"FW,MF",0
