,Jugador,Goles,% Disparos a puerta,Total de tiros/90,Disparos a puerta/90,Goles/tiros,Goles/tiros a puerta,Distancia media de los tiros
49,Cédric Bakambu,0,25.0,1.86,0.46,0.00,0.00,15.8
50,Alejandro Balde,0,20.0,0.33,0.07,0.00,0.00,21.2
51,Iván Balliu,0,36.4,0.34,0.13,0.00,0.00,18.9
52,Jonathan Bamba,3,34.1,1.86,0.64,0.07,0.21,19.2
53,Léo Baptistão,6,37.5,2.35,0.88,0.13,0.33,16.7
54,Kike Barja,0,50.0,1.19,0.59,0.00,0.00,14.1
55,Ander Barrenetxea,4,32.4,2.33,0.76,0.11,0.33,17.7
56,Pablo Barrios,0,41.2,0.98,0.41,0.00,0.00,21.8
57,Marc Bartra,0,0.0,1.20,0.00,0.00,0,11.6
58,Augusto Batalla,0,0.0,0.06,0.00,0.00,0,13.5
59,Bebé,2,26.7,6.37,1.70,0.07,0.25,30.2
60,Sheraldo Becker,2,42.9,2.45,1.05,0.10,0.22,17.1
61,Héctor Bellerín,0,0.0,0.11,0.00,0.00,0,18.7
62,Jude Bellingham,19,54.8,2.41,1.32,0.29,0.53,14.8
63,Fran Beltrán,0,14.3,0.78,0.11,0.00,0.00,25.8
64,Carlos Benavídez,3,50.0,1.11,0.55,0.21,0.43,19.8
65,Yuri Berchiche,3,33.3,0.84,0.28,0.17,0.50,19.1
66,Álex Berenguer,7,35.5,1.75,0.62,0.19,0.55,16.4
67,Isaac Bernal,4,40.5,3.64,1.47,0.10,0.24,14.8
68,Antonio Blanco,0,15.0,0.74,0.11,0.00,0.00,25.1
69,Daley Blind,1,35.3,0.51,0.18,0.06,0.17,16.6
70,Adri Bosch,0,0,0.00,0.00,0,0,0
71,Yassine Bounou,0,0,0.00,0.00,0,0,0
72,Lucas Boyé,6,26.8,1.98,0.53,0.11,0.40,13.3
73,Juan Brandáriz,0,0.0,0.18,0.00,0.00,0,13.8
74,Darko Brašanac,0,0,0.00,0.00,0,0,0
75,Brau,0,0,0.00,0.00,0,0,0
76,Claudio Bravo,0,0,0.00,0.00,0,0,0
77,Ben Brereton,0,20.0,1.67,0.33,0.00,0.00,18.1
78,Ante Budimir,17,42.5,2.70,1.15,0.19,0.45,12.8
79,Pablo Busto,0,0.0,2.05,0.00,0.00,0,28.3
80,José Callejón,0,33.3,1.34,0.45,0.00,0.00,14.5
81,Eduardo Camavinga,0,41.2,0.84,0.35,0.00,0.00,22.7
82,Sergio Camello,3,39.4,1.79,0.70,0.09,0.23,15.6
83,José Campaña,0,0.0,0.53,0.00,0.00,0,28.8
84,João Cancelo,2,28.1,1.15,0.32,0.06,0.22,21.3
85,Sergi Canós,1,39.5,3.15,1.24,0.02,0.06,21.4
86,Étienne Capoue,1,35.7,0.87,0.31,0.07,0.20,15.0
87,Isaac Carcelen,0,30.0,0.34,0.10,0.00,0.00,20.2
88,Cárdenas,0,0,0.00,0.00,0,0,0
89,Marc Cardona,4,47.6,2.61,1.24,0.14,0.30,14.3
90,Sergi Cardona,1,19.2,0.83,0.16,0.04,0.20,13.9
91,Johnny Cardoso,1,25.0,0.81,0.20,0.08,0.33,18.3
92,Carmona,1,25.0,0.82,0.21,0.08,0.33,16.8
93,Yannick Carrasco,0,50.0,0.81,0.41,0.00,0.00,21.9
94,Álvaro Carreras,0,14.3,1.33,0.19,0.00,0.00,12.3
95,Dani Carvajal,4,55.6,0.75,0.41,0.22,0.40,14.3
96,William Carvalho,1,37.5,1.06,0.40,0.13,0.33,24.0
97,Marc Casado,0,0,0.00,0.00,0,0,0
98,Catena,1,27.8,0.64,0.18,0.06,0.20,13.3
99,Dani Ceballos,0,14.3,1.05,0.15,0.00,0.00,18.4
100,Álex Centelles,0,50.0,0.18,0.09,0.00,0.00,21.2
101,Franco Cervi,0,12.5,1.32,0.16,0.00,0.00,19.7
102,Pep Chavarría,1,18.2,0.85,0.15,0.09,0.50,18.3
103,Andreas Christensen,2,33.3,0.55,0.18,0.17,0.50,13.0
104,Víctor Chust,0,0.0,0.19,0.00,0.00,0,9.7
105,Pathé Ciss,1,36.4,1.19,0.43,0.05,0.13,23.6
106,Silvi Clúa,0,0,0.00,0.00,0,0,0
107,Saúl Coco,1,20.0,0.78,0.16,0.05,0.25,25.6
108,Santi Comesaña,2,41.2,0.93,0.38,0.12,0.29,13.0
109,Copete,1,14.3,0.47,0.07,0.14,1.00,13.4
110,Francis Coquelin,0,0.0,0.30,0.00,0.00,0,16.6
111,Theo Corbeanu,1,40.0,2.47,0.99,0.20,0.50,23.6
112,Jesús Corona,0,0,0.00,0.00,0,0,0
113,Ángel Correa,9,45.2,2.47,1.12,0.19,0.42,17.0
114,Thierry Correia,0,40.0,0.21,0.08,0.00,0.00,20.9
115,Jaume Costa,0,33.3,0.32,0.11,0.00,0.00,16.3
116,Samu Costa,1,13.6,0.86,0.12,0.05,0.33,20.9
117,Thibaut Courtois,0,0,0.00,0.00,0,0,0
118,Yan Couto,1,37.9,1.16,0.44,0.03,0.09,21.3
119,Crespo,0,0.0,0.51,0.00,0.00,0,17.7
120,Cristian,0,0,0.00,0.00,0,0,0
121,Juan Cruz Armada,0,0.0,0.16,0.00,0.00,0,28.7
122,Juan Cruz,0,0.0,2.37,0.00,0.00,0,21.6
123,Pau Cubarsí,0,0.0,0.17,0.00,0.00,0,18.4
124,Iván Cuéllar,0,0,0.00,0.00,0,0,0
125,Jorge Cuenca,3,35.0,0.92,0.32,0.15,0.43,11.7
126,Eric Curbelo,0,0,0.00,0.00,0,0,0
127,Alberto Dadie,0,0,0.00,0.00,0,0,0
128,Sergi Darder,2,37.5,1.34,0.50,0.06,0.17,22.4
129,Rodrigo De Paul,3,40.0,1.30,0.52,0.10,0.25,19.8
130,Mouctar Diakhaby,1,42.9,0.59,0.25,0.14,0.33,13.9
131,Moussa Diakité,0,0,0.00,0.00,0,0,0
132,Assane Diao,2,14.3,1.80,0.26,0.10,0.67,13.7
133,Brahim Díaz,8,44.7,2.21,0.99,0.21,0.47,16.0
134,Víctor Díaz,0,0,0.00,0.00,0,0,0
135,Famara Diedhiou,0,60.0,5.06,3.03,0.00,0.00,18.1
136,Stole Dimitrievski,0,0,0.00,0.00,0,0,0
137,Djené,0,16.7,0.22,0.04,0.00,0.00,23.2
138,Marko Dmitrović,0,0,0.00,0.00,0,0,0
139,Jaume Doménech,0,0,0.00,0.00,0,0,0
140,Carlos Dominguez,0,0.0,0.28,0.00,0.00,0,15.6
141,Mario Dominguez,0,33.3,10.80,3.60,0.00,0.00,17.3
142,Carlos Dotor,0,0.0,0.51,0.00,0.00,0,22.9
143,Anastasios Douvikas,7,57.7,2.59,1.49,0.27,0.47,13.5
144,Artem Dovbyk,24,46.8,2.68,1.25,0.22,0.47,12.4
145,Domingos Duarte,0,0.0,0.10,0.00,0.00,0,2.8
146,Rubén Duarte,2,33.3,0.72,0.24,0.13,0.40,24.6
147,Hugo Duro,13,43.9,2.00,0.88,0.20,0.45,12.9
148,Aritz Elustondo,0,28.6,0.78,0.22,0.00,0.00,11.0
149,Adri Embarba,3,38.1,2.29,0.87,0.03,0.08,24.1
150,Youssef En-Nesyri,16,40.3,2.52,1.02,0.21,0.52,12.1
151,Gonzalo Escalante,1,21.4,0.74,0.16,0.07,0.33,17.4
152,Aarón Escandell,0,0,0.00,0.00,0,0,0
153,Alfonso Espino,0,27.8,0.65,0.18,0.00,0.00,22.2
154,Bernardo Espinosa,0,0,0.00,0.00,0,0,0
155,Karl Etta,0,0,0.00,0.00,0,0,0
156,Abdessamad Ezzalzouli,0,25.0,5.29,1.32,0.00,0.00,19.1
157,Abdessamad Ezzalzouli,1,24.2,3.43,0.83,0.03,0.13,17.8
158,Radamel Falcao,1,37.5,3.54,1.33,0.00,0.00,14.5
159,Fali,0,27.3,0.39,0.11,0.00,0.00,15.6
160,Ansu Fati,0,14.3,12.60,1.80,0.00,0.00,18.6
161,Nabil Fekir,1,25.0,2.40,0.60,0.04,0.14,19.2
162,Luiz Felipe,0,0.0,0.50,0.00,0.00,0,10.8
163,João Félix,7,41.0,3.56,1.46,0.11,0.28,15.8
164,Kiko Femenía,0,0.0,0.06,0.00,0.00,0,51.1
165,Aitor Fernández,0,0,0.00,0.00,0,0,0
166,Álex Fernández,0,14.3,0.49,0.07,0.00,0.00,24.0
167,Carlos Fernández,2,37.5,1.76,0.66,0.13,0.33,15.1
168,Raúl Fernández,0,0,0.00,0.00,0,0,0
169,Valery Fernández,2,40.0,0.89,0.36,0.40,1.00,18.9
170,Fernando,0,0,0.00,0.00,0,0,0
171,Fernando,0,0.0,0.20,0.00,0.00,0,16.2
