,Jugador,Posición,PPP del eq. cuando jugaba,Goles a favor (+) o en contra(-) del eq. cuando jugaba
364,Samuel Lino,"DF,MF",2.06,+1.08
365,Javier Llabrés,"MF,FW",0.81,0.00
366,Marcos Llorente,"MF,DF",2.05,+0.60
367,Enzo Loiodice,MF,1.18,-0.15
368,Adrián López,GK,0,0
369,Alberto López,GK,0,0
370,David López,DF,0,0
371,David López,DF,2.48,+1.15
372,Diego López,MF,0,0
373,Diego López,"MF,FW",1.33,-0.20
374,Fermin López,"MF,FW",2.29,+1.00
375,Javi López,DF,1.31,+0.04
376,Unai López,MF,1.06,-0.38
377,Dion Lopy,MF,0.37,-1.13
378,Anthony Lozano,"MF,FW",0.33,-2.93
379,Anthony Lozano,FW,0.69,-0.12
380,Lucas,DF,0.75,-1.52
381,José Luis Gayà,DF,1.46,+0.05
382,Mario de Luis,GK,0,0
383,José Luis Morales,"FW,MF",1.38,-0.86
384,Dodi Lukebakio,"FW,MF",1.17,-0.16
385,Daniel Luna,MF,0,0
386,Andriy Lunin,GK,2.52,+1.67
387,Darwin Machís,MF,0.76,-0.11
388,Pablo Maffeo,DF,0.95,-0.19
389,Jon Magunacelaya,"FW,MF",1.40,+2.23
390,Nemanja Maksimović,MF,1.14,-0.39
391,Giorgi Mamardashvili,GK,1.32,-0.03
392,Wilson Manafá,"DF,MF",0.25,-1.87
393,Reinildo Mandava,DF,2.13,+0.74
394,Aïssa Mandi,DF,1.38,0.00
395,Javier Manquillo,"DF,MF",1.83,+0.12
396,Faitout Maouassa,"DF,MF",0.67,-1.57
397,Nikola Maraš,DF,0,0
398,Marcão,DF,1.00,-0.76
399,Agustín Marchesín,GK,0,0
400,Óscar de Marcos,DF,1.75,+0.76
401,Alberto Marí,FW,1.25,-1.30
402,José Mari,"MF,FW",1.25,-6.43
403,José María Giménez,DF,2.18,+1.09
404,Mariano,"FW,MF",0.33,-1.11
405,Rafa Marín,DF,1.18,-0.48
406,Pablo Marín,MF,0,0
407,Diego Mariño,GK,0.00,-2.00
408,Mika Màrmol,DF,1.08,-0.37
