,Jugador,País,Posición,Equipo,Competición,Edad
258,Frenkie de Jong,NED,MF,Barcelona,La Liga,26
259,Joan Jordán,ESP,MF,Sevilla,La Liga,29
260,Jordi,ESP,"MF,DF",Getafe,La Liga,22
261,Jeremy Jorge,ESP,FW,Getafe,La Liga,20
262,Willian José,BRA,FW,Betis,La Liga,31
263,Joselu,ESP,FW,Real Madrid,La Liga,33
264,Kamil Jóźwiak,POL,MF,Granada,La Liga,25
265,Juanmi,ESP,FW,Cádiz,La Liga,30
266,Juanpe,ESP,DF,Girona,La Liga,32
267,Vinicius Júnior,BRA,FW,Real Madrid,La Liga,23
268,Filip Jørgensen,DEN,GK,Villarreal,La Liga,21
269,Sory Kaba,GUI,FW,Las Palmas,La Liga,28
270,Kaiky,BRA,DF,Almería,La Liga,19
271,Jon Karrikaburu,ESP,"MF,FW",Alavés,La Liga,20
272,Ibrahima Kebe,MLI,MF,Girona,La Liga,22
273,Kiké,ESP,"FW,MF",Alavés,La Liga,33
274,Koke,ESP,MF,Atlético Madrid,La Liga,31
275,Ibrahima Koné,MLI,FW,Almería,La Liga,24
276,Rominigue Kouamé,MLI,MF,Cádiz,La Liga,26
277,Jules Koundé,FRA,DF,Barcelona,La Liga,24
278,Toni Kroos,GER,MF,Real Madrid,La Liga,33
279,Takefusa Kubo,JPN,"FW,MF",Real Sociedad,La Liga,22
280,Luca de la Torre,USA,MF,Celta Vigo,La Liga,25
281,Yoel Lago,ESP,DF,Celta Vigo,La Liga,19
282,Érik Lamela,ARG,"FW,MF",Sevilla,La Liga,31
283,Bruno Langa,MOZ,DF,Almería,La Liga,25
284,Cyle Larin,CAN,FW,Mallorca,La Liga,28
285,Juanmi Latasa,ESP,FW,Getafe,La Liga,22
286,Toni Lato,ESP,DF,Mallorca,La Liga,25
287,Lázaro,BRA,"FW,MF",Almería,La Liga,21
288,Robin Le Normand,ESP,DF,Real Sociedad,La Liga,26
289,Jeremías Ledesma,ARG,GK,Cádiz,La Liga,30
290,Florian Lejeune,FRA,DF,Rayo Vallecano,La Liga,32
291,Stefan Lekovic,SRB,DF,Villarreal,La Liga,19
292,Iñigo Lekue,ESP,DF,Athletic Club,La Liga,30
293,Thomas Lemar,FRA,MF,Atlético Madrid,La Liga,27
294,Álvaro Lemos,ESP,DF,Las Palmas,La Liga,30
295,Ruben Lendinez,ESP,DF,Valencia,La Liga,20
296,Robert Lewandowski,POL,FW,Barcelona,La Liga,34
297,Samuel Lino,BRA,"DF,MF",Atlético Madrid,La Liga,23
298,Javier Llabrés,ESP,"MF,FW",Mallorca,La Liga,20
299,Marcos Llorente,ESP,"MF,DF",Atlético Madrid,La Liga,28
300,Enzo Loiodice,FRA,MF,Las Palmas,La Liga,22
301,David López,ESP,DF,Girona,La Liga,33
302,Diego López,ESP,"MF,FW",Valencia,La Liga,21
303,Fermin López,ESP,"MF,FW",Barcelona,La Liga,20
304,Javi López,ESP,DF,Alavés,La Liga,21
305,Unai López,ESP,MF,Rayo Vallecano,La Liga,27
306,Dion Lopy,SEN,MF,Almería,La Liga,21
307,Anthony Lozano,HON,"MF,FW",Getafe,La Liga,30
308,Anthony Lozano,HON,FW,Almería,La Liga,30
309,Lucas,BRA,DF,Cádiz,La Liga,22
310,José Luis Gayà,ESP,DF,Valencia,La Liga,28
311,José Luis Morales,ESP,"FW,MF",Villarreal,La Liga,36
312,Dodi Lukebakio,BEL,"FW,MF",Sevilla,La Liga,25
313,Andriy Lunin,UKR,GK,Real Madrid,La Liga,24
314,Darwin Machís,VEN,MF,Cádiz,La Liga,30
315,Pablo Maffeo,ESP,DF,Mallorca,La Liga,26
316,Jon Magunacelaya,ESP,"FW,MF",Real Sociedad,La Liga,23
317,Nemanja Maksimović,SRB,MF,Getafe,La Liga,28
318,Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,22
319,Wilson Manafá,POR,"DF,MF",Granada,La Liga,29
320,Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,29
321,Aïssa Mandi,ALG,DF,Villarreal,La Liga,31
322,Javier Manquillo,ESP,"DF,MF",Celta Vigo,La Liga,29
323,Faitout Maouassa,FRA,"DF,MF",Granada,La Liga,25
324,Marcão,BRA,DF,Sevilla,La Liga,27
325,Óscar de Marcos,ESP,DF,Athletic Club,La Liga,34
326,Alberto Marí,ESP,FW,Valencia,La Liga,22
327,José Mari,ESP,"MF,FW",Cádiz,La Liga,35
328,José María Giménez,URU,DF,Atlético Madrid,La Liga,28
329,Mariano,DOM,"FW,MF",Sevilla,La Liga,29
330,Rafa Marín,ESP,DF,Alavés,La Liga,21
331,Diego Mariño,ESP,GK,Almería,La Liga,33
332,Mika Màrmol,ESP,DF,Las Palmas,La Liga,21
333,Unai Marrero,ESP,GK,Real Sociedad,La Liga,21
334,Roger Martí,ESP,FW,Cádiz,La Liga,32
335,Iván Martín,ESP,MF,Girona,La Liga,24
336,Jon Martin,ESP,DF,Real Sociedad,La Liga,17
337,Mario Martín,ESP,MF,Real Madrid,La Liga,19
338,Arnau Martinez,ESP,DF,Girona,La Liga,20
339,Iñigo Martínez,ESP,DF,Barcelona,La Liga,32
340,Marc Martínez,ESP,GK,Granada,La Liga,33
341,Marvin,ESP,"FW,DF",Las Palmas,La Liga,23
342,Omar Mascarell,EQG,MF,Mallorca,La Liga,30
343,Jaime Mata,ESP,"FW,MF",Getafe,La Liga,34
344,Luís Maximiano,POR,GK,Almería,La Liga,24
345,Borja Mayoral,ESP,FW,Getafe,La Liga,26
346,Mamadou Mbaye,SEN,DF,Cádiz,La Liga,25
347,Hannibal Mejbri,TUN,MF,Sevilla,La Liga,20
348,Óscar Melendo,ESP,"MF,FW",Granada,La Liga,25
349,Gonzalo Melero,ESP,"MF,FW",Almería,La Liga,29
350,Memphis,NED,FW,Atlético Madrid,La Liga,29
351,Houboulang Mendes,GNB,DF,Almería,La Liga,25
352,Tomás Mendes,ESP,MF,Alavés,La Liga,18
353,Brais Méndez,ESP,"MF,FW",Real Sociedad,La Liga,26
354,Bruno Méndez,URU,DF,Granada,La Liga,23
355,Diego Méndez,ESP,MF,Rayo Vallecano,La Liga,19
356,Ferland Mendy,FRA,DF,Real Madrid,La Liga,28
357,Jorge Meré,ESP,DF,Cádiz,La Liga,26
358,Mikel Merino,ESP,MF,Real Sociedad,La Liga,27
359,Omenuke Mfulu,COD,"MF,FW",Las Palmas,La Liga,29
360,Miguel,ESP,"FW,MF",Alavés,La Liga,23
361,Éder Militão,BRA,DF,Real Madrid,La Liga,25
362,Luis Milla,ESP,MF,Getafe,La Liga,28
363,Marko Milovanović,SRB,"FW,MF",Almería,La Liga,19
364,Óscar Mingueza,ESP,"DF,MF",Celta Vigo,La Liga,24
365,Ignasi Miquel,ESP,DF,Granada,La Liga,30
366,Rafa Mir,ESP,"FW,MF",Sevilla,La Liga,26
367,Juan Miranda,ESP,DF,Betis,La Liga,23
368,Stefan Mitrović,SRB,DF,Getafe,La Liga,33
369,Luka Modrić,CRO,MF,Real Madrid,La Liga,37
370,Johan Mojica,COL,DF,Osasuna,La Liga,30
371,Alberto Moleiro,ESP,"FW,MF",Las Palmas,La Liga,19
372,Nahuel Molina,ARG,DF,Atlético Madrid,La Liga,25
373,Jon Moncayola,ESP,MF,Osasuna,La Liga,25
374,César Montes,MEX,DF,Almería,La Liga,26
375,Álvaro Morata,ESP,FW,Atlético Madrid,La Liga,30
376,Alberto Moreno,ESP,DF,Villarreal,La Liga,31
377,Gerard Moreno,ESP,FW,Villarreal,La Liga,31
378,Jorge Moreno,ESP,DF,Osasuna,La Liga,22
379,Ilaix Moriba,GUI,"MF,FW",Getafe,La Liga,20
380,Manu Morlanes,ESP,MF,Mallorca,La Liga,24
381,Cristhian Mosquera,COL,DF,Valencia,La Liga,19
382,Yerson Mosquera,COL,DF,Villarreal,La Liga,22
383,Abdul Mumin,GHA,DF,Rayo Vallecano,La Liga,25
384,Iker Muniain,ESP,"MF,FW",Athletic Club,La Liga,30
385,Aihen Muñoz,ESP,DF,Real Sociedad,La Liga,25
386,Álvaro Muñoz,URU,FW,Real Madrid,La Liga,19
387,Iker Muñoz,ESP,MF,Osasuna,La Liga,20
388,Javier Muñoz,ESP,MF,Las Palmas,La Liga,28
389,Vedat Muriqi,KVX,FW,Mallorca,La Liga,29
390,Nacho,ESP,DF,Real Madrid,La Liga,33
391,Matija Nastasić,SRB,DF,Mallorca,La Liga,30
392,Roberto Navarro,ESP,"MF,FW",Cádiz,La Liga,21
393,Jesús Navas,ESP,DF,Sevilla,La Liga,37
394,Álvaro Negredo,ESP,"FW,MF",Cádiz,La Liga,37
395,Carlos Neva,ESP,DF,Granada,La Liga,27
396,Tanguy Nianzou,FRA,DF,Sevilla,La Liga,21
397,Saúl Ñíguez,ESP,MF,Atlético Madrid,La Liga,28
398,Peru Nolaskoain,ESP,"DF,MF",Athletic Club,La Liga,24
399,Randy Nteka,ANG,"FW,MF",Rayo Vallecano,La Liga,25
400,Unai Núñez,ESP,DF,Celta Vigo,La Liga,26
401,Ørjan Nyland,NOR,GK,Sevilla,La Liga,32
402,Jan Oblak,SVN,GK,Atlético Madrid,La Liga,30
403,Brian Ocampo,URU,"MF,FW",Cádiz,La Liga,24
404,Lucas Ocampos,ARG,"FW,MF",Sevilla,La Liga,29
405,Álvaro Odriozola,ESP,DF,Real Sociedad,La Liga,27
406,Aingeru Olabarrieta,ESP,FW,Athletic Club,La Liga,17
407,Olasagasti,ESP,MF,Real Sociedad,La Liga,22
408,Samuel Omorodion,ESP,FW,Alavés,La Liga,19
409,Samuel Omorodion,ESP,FW,Granada,La Liga,19
410,Aimar Oroz,ESP,MF,Osasuna,La Liga,21
411,Eneko Ortiz,ESP,DF,Alavés,La Liga,20
412,Asier Osambela,ESP,MF,Osasuna,La Liga,19
413,Milutin Osmajić,MNE,MF,Cádiz,La Liga,24
414,Aiham Ousou,SYR,DF,Cádiz,La Liga,23
415,Jesús Owono,EQG,GK,Alavés,La Liga,22
416,Mikel Oyarzabal,ESP,"FW,MF",Real Sociedad,La Liga,26
